user,version,portal,pages
1,0,1,2
2,0,1,5
3,0,1,5
4,0,0,1
5,0,1,5
6,0,0,2
7,0,1,2
8,1,1,1
9,0,1,3
10,0,1,5
11,1,1,3
12,0,0,4
13,1,1,1
14,0,0,1
15,1,0,3
16,1,0,1
17,1,0,1
18,0,1,6
19,1,1,5
20,1,1,3
21,0,0,1
22,0,1,8
23,0,0,1
24,0,1,3
25,0,0,1
26,0,0,1
27,1,0,2
28,0,0,1
29,1,1,5
30,0,0,1
31,1,1,2
32,0,1,4
33,1,0,1
34,0,1,5
35,0,1,5
36,1,0,5
37,0,1,2
38,0,1,3
39,0,0,1
40,1,1,2
41,0,1,4
42,1,1,2
43,0,1,8
44,0,0,1
45,0,1,2
46,1,0,1
47,1,1,1
48,1,0,1
49,0,1,3
50,0,0,1
51,1,1,4
52,0,1,7
53,0,1,2
54,0,1,2
55,1,1,3
56,1,0,3
57,1,0,1
58,0,1,12
59,1,1,4
60,1,1,5
61,1,0,1
62,1,0,2
63,0,1,7
64,0,1,3
65,0,0,2
66,1,1,3
67,1,1,1
68,0,0,3
69,1,1,6
70,1,1,4
71,0,0,3
72,1,1,4
73,0,1,3
74,1,0,2
75,1,0,1
76,0,1,4
77,0,1,5
78,1,1,8
79,0,1,6
80,0,1,5
81,0,1,5
82,0,1,4
83,1,0,4
84,0,0,4
85,1,0,1
86,0,1,5
87,0,1,5
88,1,0,1
89,0,1,7
90,1,0,3
91,1,1,6
92,1,1,2
93,1,0,1
94,0,0,1
95,1,1,5
96,0,1,4
97,0,0,4
98,0,0,1
99,0,1,3
100,1,1,5
101,1,1,1
102,1,1,2
103,0,1,4
104,0,1,8
105,1,0,3
106,1,1,4
107,1,1,2
108,1,0,2
109,0,1,4
110,0,0,2
111,1,1,2
112,1,1,3
113,1,1,2
114,1,1,4
115,1,1,8
116,0,0,1
117,1,0,1
118,1,1,1
119,0,1,2
120,0,0,4
121,1,1,2
122,1,1,1
123,1,0,2
124,0,0,2
125,1,0,1
126,1,1,2
127,0,0,1
128,1,1,3
129,0,1,3
130,1,0,6
131,1,1,2
132,1,0,2
133,1,0,1
134,0,0,2
135,0,0,5
136,0,0,1
137,1,1,3
138,0,1,3
139,0,0,1
140,0,0,1
141,1,1,1
142,1,1,3
143,0,0,3
144,0,1,5
145,1,1,2
146,1,1,5
147,1,1,1
148,0,0,1
149,0,0,1
150,1,1,2
151,1,0,1
152,0,1,3
153,1,1,3
154,0,1,3
155,0,0,1
156,1,0,2
157,0,0,2
158,1,0,1
159,0,1,5
160,1,0,1
161,0,1,3
162,1,1,4
163,1,1,1
164,0,1,6
165,0,1,5
166,0,1,2
167,1,1,1
168,0,1,5
169,1,1,2
170,1,0,2
171,0,1,5
172,0,0,1
173,0,0,1
174,0,1,3
175,1,1,4
176,1,1,5
177,1,1,3
178,0,1,2
179,0,0,5
180,0,0,1
181,1,1,1
182,1,0,4
183,0,1,3
184,1,1,2
185,1,0,4
186,1,0,2
187,0,1,6
188,0,0,6
189,0,1,6
190,0,0,1
191,1,0,1
192,0,0,1
193,1,0,3
194,0,0,3
195,1,0,1
196,0,1,4
197,1,0,2
198,0,1,2
199,0,1,3
200,0,1,2
201,1,1,2
202,1,0,1
203,0,1,5
204,0,0,1
205,0,1,6
206,0,1,5
207,1,1,1
208,0,0,2
209,1,0,1
210,1,0,1
211,0,1,2
212,1,0,1
213,1,0,1
214,1,1,2
215,0,0,1
216,0,1,3
217,0,0,2
218,0,1,4
219,1,1,3
220,0,0,2
221,1,0,2
222,0,0,1
223,1,1,8
224,0,1,4
225,0,1,3
226,1,0,1
227,0,0,1
228,0,0,2
229,0,1,4
230,1,0,1
231,1,0,1
232,1,0,1
233,0,0,2
234,1,0,2
235,0,0,3
236,1,1,3
237,1,1,5
238,1,0,1
239,1,1,1
240,1,1,1
241,0,0,1
242,0,0,2
243,0,0,1
244,1,0,1
245,0,1,7
246,0,0,2
247,1,0,2
248,1,0,1
249,1,0,2
250,0,1,5
251,1,0,4
252,0,0,1
253,1,0,1
254,1,0,1
255,0,1,4
256,0,0,1
257,0,0,2
258,0,0,1
259,1,1,2
260,1,1,2
261,1,1,1
262,1,1,3
263,0,1,3
264,0,1,2
265,1,1,3
266,0,0,1
267,0,0,1
268,1,1,5
269,0,1,2
270,1,1,2
271,0,1,3
272,0,0,1
273,1,0,3
274,1,0,7
275,0,0,2
276,0,1,5
277,0,0,3
278,0,0,1
279,0,1,9
280,1,1,2
281,1,1,4
282,0,1,5
283,0,1,5
284,0,0,1
285,1,1,1
286,0,0,3
287,0,1,3
288,0,1,2
289,1,1,3
290,0,1,5
291,1,0,1
292,1,1,3
293,0,0,3
294,1,0,1
295,0,1,3
296,1,1,6
297,1,1,4
298,0,0,1
299,0,0,4
300,0,1,4
301,0,0,2
302,1,0,2
303,1,0,3
304,0,0,2
305,1,1,4
306,1,1,5
307,0,0,1
308,1,1,2
309,1,1,5
310,1,1,2
311,1,1,1
312,0,0,1
313,1,1,2
314,1,1,1
315,1,1,3
316,0,1,5
317,1,0,3
318,1,0,1
319,1,1,1
320,1,1,1
321,0,1,3
322,0,0,1
323,1,1,1
324,0,1,4
325,0,0,2
326,1,0,1
327,0,0,2
328,0,0,1
329,0,1,7
330,1,0,1
331,1,1,1
332,0,0,3
333,1,0,1
334,0,0,1
335,1,0,2
336,1,0,2
337,1,1,1
338,1,0,2
339,1,1,2
340,1,0,1
341,0,0,2
342,1,0,1
343,0,1,5
344,1,1,2
345,1,1,4
346,1,0,1
347,0,0,3
348,0,1,3
349,0,0,3
350,1,0,3
351,1,1,2
352,0,0,3
353,0,1,4
354,1,0,1
355,1,0,1
356,1,1,3
357,0,1,4
358,0,0,2
359,1,1,1
360,1,1,3
361,0,1,6
362,1,0,1
363,0,1,2
364,1,1,3
365,0,1,2
366,0,0,1
367,1,0,2
368,1,1,1
369,1,0,2
370,1,1,1
371,1,0,2
372,0,1,3
373,0,0,1
374,1,1,7
375,1,1,4
376,0,0,1
377,0,0,1
378,0,1,9
379,0,1,3
380,0,0,1
381,1,0,4
382,1,0,7
383,0,0,1
384,0,1,6
385,1,0,5
386,1,1,2
387,0,0,1
388,1,0,1
389,0,1,2
390,1,0,2
391,0,1,3
392,1,0,1
393,1,0,2
394,0,1,2
395,0,0,1
396,0,0,2
397,1,0,2
398,0,0,2
399,0,1,5
400,0,0,1
401,0,1,4
402,1,1,4
403,0,1,2
404,1,0,8
405,1,0,2
406,1,0,1
407,1,1,5
408,0,0,2
409,0,0,1
410,1,0,1
411,0,0,1
412,1,0,1
413,1,1,3
414,1,0,1
415,1,0,2
416,1,1,1
417,1,1,2
418,0,1,2
419,1,1,3
420,1,0,1
421,1,1,1
422,1,0,2
423,0,1,8
424,1,1,1
425,1,0,2
426,1,1,1
427,0,1,4
428,1,0,1
429,1,0,3
430,1,1,1
431,0,0,2
432,1,0,2
433,1,1,1
434,1,1,4
435,1,1,4
436,1,1,8
437,1,0,2
438,0,1,6
439,0,0,2
440,1,1,6
441,0,0,2
442,1,0,1
443,0,0,1
444,0,0,1
445,0,0,2
446,1,1,4
447,1,0,2
448,0,1,3
449,0,1,5
450,0,1,3
451,1,1,7
452,0,0,2
453,0,1,2
454,1,1,2
455,1,1,2
456,0,0,5
457,0,1,5
458,0,1,4
459,1,0,1
460,1,1,6
461,0,0,2
