Subject,session,score
0,0,115
0,1,107
0,2,111
0,3,90
0,4,87
0,5,92
0,6,101
0,7,102
0,8,119
0,9,121
1,0,114
1,1,97
1,2,97
1,3,114
1,4,104
1,5,86
1,6,75
1,7,62
1,8,37
1,9,60
1,10,76
1,11,62
1,12,63
1,13,72
1,14,96
1,15,83
1,16,77
1,17,86
1,18,95
1,19,110
1,20,88
1,21,87
1,22,86
1,23,76
1,24,90
1,25,89
1,26,81
1,27,96
1,28,71
1,29,90
1,30,68
1,31,90
1,32,109
1,33,120
2,0,110
2,1,111
2,2,96
2,3,110
2,4,115
2,5,135
2,6,158
2,7,173
2,8,176
2,9,164
2,10,167
2,11,187
2,12,168
2,13,186
2,14,204
2,15,195
2,16,179
2,17,186
2,18,180
2,19,165
2,20,188
2,21,176
2,22,171
2,23,179
2,24,192
2,25,200
2,26,180
2,27,177
2,28,195
2,29,208
2,30,202
2,31,189
3,0,111
3,1,96
3,2,73
3,3,61
3,4,43
3,5,22
3,6,34
3,7,53
3,8,76
3,9,97
3,10,110
3,11,125
3,12,109
3,13,120
3,14,95
3,15,101
3,16,114
3,17,137
3,18,126
3,19,102
3,20,95
3,21,94
3,22,107
3,23,92
3,24,91
3,25,77
3,26,96
3,27,98
3,28,92
3,29,68
3,30,67
3,31,51
3,32,72
3,33,51
3,34,34
3,35,46
4,0,107
4,1,110
4,2,88
4,3,112
4,4,108
4,5,84
4,6,79
4,7,82
4,8,73
4,9,60
4,10,77
4,11,83
4,12,90
4,13,112
4,14,130
4,15,146
4,16,165
4,17,146
4,18,150
4,19,151
4,20,152
4,21,173
4,22,175
4,23,150
4,24,148
4,25,138
4,26,143
4,27,143
4,28,154
4,29,135
4,30,152
4,31,132
4,32,126
5,0,112
5,1,122
5,2,105
5,3,96
5,4,114
5,5,118
5,6,101
5,7,86
5,8,99
5,9,85
5,10,85
5,11,104
5,12,115
5,13,104
5,14,107
5,15,118
5,16,96
5,17,87
5,18,63
5,19,79
5,20,91
5,21,108
5,22,109
5,23,89
5,24,65
5,25,61
5,26,57
5,27,65
5,28,44
5,29,44
6,0,113
6,1,104
6,2,115
6,3,91
6,4,100
6,5,79
6,6,57
6,7,65
6,8,76
6,9,83
6,10,103
6,11,126
6,12,117
6,13,105
6,14,93
6,15,71
6,16,92
6,17,99
6,18,90
6,19,110
6,20,104
6,21,82
6,22,106
6,23,81
6,24,68
6,25,70
6,26,62
6,27,73
6,28,73
6,29,73
6,30,76
7,0,116
7,1,98
7,2,80
7,3,85
7,4,71
7,5,55
7,6,68
7,7,67
7,8,55
7,9,57
7,10,62
7,11,47
7,12,41
7,13,60
7,14,66
7,15,87
7,16,109
7,17,123
7,18,146
7,19,128
7,20,151
7,21,173
7,22,160
7,23,160
7,24,174
7,25,189
7,26,182
7,27,196
7,28,175
7,29,196
7,30,178
7,31,154
7,32,154
8,0,113
8,1,110
8,2,130
8,3,120
8,4,106
8,5,113
8,6,102
8,7,77
8,8,56
8,9,34
8,10,45
8,11,65
8,12,60
8,13,44
8,14,57
8,15,58
8,16,76
8,17,54
9,0,115
9,1,125
9,2,102
9,3,119
9,4,102
9,5,91
9,6,106
9,7,114
9,8,90
9,9,108
9,10,132
9,11,112
9,12,122
9,13,128
9,14,115
9,15,139
9,16,145
9,17,131
9,18,129
9,19,147
9,20,137
9,21,126
9,22,150
9,23,157
9,24,139
9,25,121
9,26,114
9,27,129
9,28,107
9,29,112
9,30,110
10,0,102
10,1,111
10,2,111
10,3,88
10,4,109
10,5,128
10,6,125
10,7,125
10,8,116
10,9,94
10,10,114
10,11,116
10,12,133
10,13,148
10,14,146
10,15,125
10,16,104
10,17,100
10,18,85
10,19,103
10,20,93
10,21,115
10,22,102
10,23,96
10,24,78
10,25,89
10,26,69
10,27,63
10,28,48
10,29,45
10,30,50
10,31,43
10,32,59
10,33,46
10,34,42
10,35,41
