Subject,session,score
0,0,102
0,1,102
0,2,86
0,3,90
0,4,82
0,5,103
0,6,98
0,7,101
0,8,112
0,9,128
1,0,120
1,1,119
1,2,143
1,3,146
1,4,131
1,5,146
1,6,164
1,7,146
1,8,165
1,9,190
1,10,212
1,11,195
1,12,183
1,13,207
1,14,185
1,15,177
1,16,173
1,17,177
1,18,183
1,19,205
1,20,205
1,21,225
1,22,230
1,23,216
1,24,225
1,25,240
1,26,248
1,27,224
1,28,212
1,29,194
1,30,180
1,31,159
1,32,151
1,33,151
2,0,103
2,1,114
2,2,115
2,3,132
2,4,139
2,5,133
2,6,127
2,7,122
2,8,141
2,9,133
2,10,114
2,11,116
2,12,112
2,13,99
2,14,93
2,15,92
2,16,99
2,17,96
2,18,102
2,19,110
2,20,88
2,21,70
2,22,72
2,23,90
2,24,104
2,25,117
2,26,95
2,27,118
2,28,103
2,29,91
2,30,76
2,31,101
3,0,110
3,1,104
3,2,88
3,3,70
3,4,54
3,5,72
3,6,94
3,7,101
3,8,107
3,9,131
3,10,118
3,11,114
3,12,91
3,13,83
3,14,89
3,15,66
3,16,51
3,17,27
3,18,8
3,19,-13
3,20,-25
3,21,-40
3,22,-60
3,23,-76
3,24,-59
3,25,-62
3,26,-59
3,27,-46
3,28,-63
3,29,-64
3,30,-64
3,31,-71
3,32,-58
3,33,-52
3,34,-66
3,35,-52
4,0,111
4,1,104
4,2,96
4,3,91
4,4,75
4,5,69
4,6,81
4,7,79
4,8,91
4,9,112
4,10,112
4,11,90
4,12,89
4,13,99
4,14,77
4,15,71
4,16,74
4,17,83
4,18,71
4,19,56
4,20,67
4,21,65
4,22,86
4,23,83
4,24,72
4,25,86
4,26,76
4,27,54
4,28,38
4,29,61
4,30,80
4,31,102
4,32,108
5,0,109
5,1,88
5,2,83
5,3,59
5,4,40
5,5,57
5,6,35
5,7,57
5,8,72
5,9,88
5,10,76
5,11,89
5,12,99
5,13,102
5,14,121
5,15,122
5,16,104
5,17,111
5,18,124
5,19,136
5,20,134
5,21,121
5,22,104
5,23,122
5,24,131
5,25,150
5,26,137
5,27,157
5,28,166
5,29,157
6,0,102
6,1,85
6,2,69
6,3,62
6,4,48
6,5,48
6,6,25
6,7,14
6,8,0
6,9,17
6,10,25
6,11,30
6,12,38
6,13,40
6,14,31
6,15,19
6,16,36
6,17,39
6,18,31
6,19,47
6,20,63
6,21,72
6,22,75
6,23,90
6,24,97
6,25,101
6,26,120
6,27,115
6,28,100
6,29,79
6,30,93
7,0,111
7,1,108
7,2,112
7,3,112
7,4,106
7,5,90
7,6,70
7,7,54
7,8,73
7,9,82
7,10,80
7,11,101
7,12,105
7,13,91
7,14,105
7,15,110
7,16,96
7,17,72
7,18,75
7,19,87
7,20,98
7,21,87
7,22,81
7,23,65
7,24,84
7,25,98
7,26,113
7,27,111
7,28,126
7,29,143
7,30,141
7,31,160
7,32,149
8,0,107
8,1,101
8,2,111
8,3,127
8,4,108
8,5,87
8,6,76
8,7,58
8,8,72
8,9,55
8,10,46
8,11,70
8,12,57
8,13,58
8,14,55
8,15,64
8,16,63
8,17,54
9,0,104
9,1,106
9,2,83
9,3,82
9,4,106
9,5,110
9,6,129
9,7,151
9,8,153
9,9,159
9,10,150
9,11,135
9,12,113
9,13,123
9,14,142
9,15,149
9,16,173
9,17,194
9,18,185
9,19,180
9,20,159
9,21,179
9,22,172
9,23,191
9,24,205
9,25,206
9,26,199
9,27,201
9,28,214
9,29,190
9,30,183
10,0,110
10,1,94
10,2,95
10,3,101
10,4,124
10,5,129
10,6,116
10,7,98
10,8,116
10,9,96
10,10,121
10,11,107
10,12,104
10,13,113
10,14,121
10,15,101
10,16,121
10,17,114
10,18,101
10,19,93
10,20,106
10,21,128
10,22,148
10,23,161
10,24,151
10,25,169
10,26,169
10,27,152
10,28,173
10,29,195
10,30,196
10,31,218
10,32,195
10,33,219
10,34,198
10,35,178
10,36,173
10,37,168
10,38,173
10,39,181
10,40,162
10,41,173
10,42,185
10,43,208
10,44,231
11,0,108
11,1,123
11,2,116
11,3,99
11,4,102
11,5,121
11,6,97
11,7,114
11,8,134
11,9,115
11,10,111
11,11,131
11,12,111
11,13,97
11,14,84
11,15,87
11,16,79
11,17,97
11,18,86
11,19,72
11,20,64
11,21,70
11,22,56
11,23,70
11,24,85
11,25,104
11,26,84
11,27,102
11,28,114
11,29,99
11,30,104
12,0,112
12,1,94
12,2,102
12,3,123
12,4,142
12,5,129
12,6,126
12,7,141
12,8,119
12,9,131
12,10,118
12,11,121
12,12,104
12,13,124
12,14,106
12,15,113
12,16,100
12,17,100
12,18,81
12,19,90
12,20,115
12,21,103
12,22,117
12,23,126
12,24,129
12,25,149
12,26,132
12,27,142
12,28,148
12,29,173
12,30,181
12,31,190
12,32,197
12,33,221
12,34,206
12,35,215
12,36,216
13,0,105
13,1,121
13,2,124
13,3,117
13,4,126
13,5,107
13,6,87
13,7,75
13,8,66
13,9,86
13,10,64
13,11,86
13,12,65
13,13,81
13,14,104
13,15,123
13,16,144
13,17,120
13,18,132
13,19,110
13,20,133
13,21,111
13,22,107
13,23,96
13,24,94
13,25,70
13,26,52
13,27,48
13,28,38
13,29,56
13,30,54
13,31,40
13,32,30
13,33,52
13,34,48
13,35,61
13,36,77
13,37,82
13,38,84
13,39,63
13,40,54
13,41,67
14,0,105
14,1,108
14,2,98
14,3,98
14,4,110
14,5,89
14,6,75
14,7,54
14,8,34
14,9,52
14,10,30
14,11,13
14,12,-8
14,13,-8
14,14,-6
14,15,-27
14,16,-13
14,17,-24
14,18,-46
14,19,-66
14,20,-74
14,21,-67
14,22,-50
14,23,-35
14,24,-10
14,25,-3
14,26,0
14,27,21
14,28,39
14,29,31
14,30,54
14,31,70
14,32,93
14,33,88
14,34,110
14,35,114
14,36,109
14,37,114
15,0,117
15,1,112
15,2,95
15,3,115
15,4,106
15,5,93
15,6,116
15,7,126
15,8,126
15,9,112
15,10,102
15,11,127
15,12,106
15,13,130
15,14,148
15,15,158
15,16,183
15,17,187
15,18,191
15,19,173
15,20,174
15,21,184
15,22,206
15,23,191
15,24,209
15,25,227
15,26,236
15,27,257
15,28,241
15,29,221
15,30,225
15,31,210
15,32,226
15,33,223
15,34,217
16,0,115
16,1,118
16,2,129
16,3,127
16,4,115
16,5,109
16,6,127
16,7,143
16,8,149
16,9,157
16,10,148
16,11,130
16,12,153
16,13,143
16,14,136
16,15,129
16,16,116
16,17,117
16,18,118
16,19,103
16,20,85
16,21,61
16,22,40
16,23,59
16,24,40
16,25,20
16,26,1
16,27,-5
16,28,-1
16,29,18
16,30,20
16,31,7
16,32,21
16,33,13
16,34,-3
16,35,-9
16,36,-19
16,37,-32
16,38,-18
17,0,103
17,1,126
17,2,103
17,3,116
17,4,105
17,5,121
17,6,108
17,7,93
17,8,103
17,9,80
17,10,82
17,11,81
17,12,90
17,13,100
17,14,106
17,15,127
17,16,108
17,17,97
17,18,114
17,19,133
17,20,119
17,21,111
17,22,110
17,23,110
17,24,105
17,25,126
17,26,150
17,27,139
18,0,115
18,1,120
18,2,110
18,3,126
18,4,139
18,5,156
18,6,169
18,7,161
18,8,180
18,9,168
18,10,155
18,11,148
18,12,133
18,13,136
18,14,119
18,15,126
18,16,133
18,17,118
18,18,109
18,19,124
18,20,149
18,21,168
18,22,145
18,23,153
18,24,142
18,25,131
18,26,131
18,27,130
19,0,107
19,1,121
19,2,143
19,3,127
19,4,147
19,5,167
19,6,169
19,7,150
19,8,162
19,9,156
19,10,170
19,11,188
19,12,190
19,13,184
19,14,184
19,15,192
19,16,212
19,17,205
19,18,201
19,19,203
19,20,221
19,21,218
19,22,208
19,23,185
19,24,184
19,25,169
19,26,147
19,27,135
20,0,116
20,1,95
20,2,87
20,3,89
20,4,103
20,5,111
20,6,131
20,7,110
20,8,119
20,9,130
20,10,130
20,11,107
20,12,102
20,13,99
20,14,110
20,15,133
20,16,124
20,17,125
20,18,115
20,19,120
20,20,139
20,21,118
20,22,140
20,23,123
20,24,104
20,25,100
20,26,120
20,27,109
20,28,105
20,29,90
20,30,107
20,31,118
20,32,135
20,33,115
20,34,123
20,35,108
20,36,118
21,0,101
21,1,118
21,2,101
21,3,100
21,4,81
21,5,103
21,6,103
21,7,92
21,8,76
21,9,62
21,10,75
21,11,59
21,12,62
21,13,58
21,14,50
21,15,60
21,16,49
21,17,39
21,18,32
21,19,26
22,0,115
22,1,128
22,2,115
22,3,137
22,4,158
22,5,160
22,6,159
22,7,139
22,8,121
22,9,135
22,10,132
22,11,115
22,12,124
22,13,120
22,14,117
22,15,108
22,16,98
22,17,99
22,18,108
22,19,94
22,20,93
22,21,104
22,22,118
22,23,131
22,24,145
22,25,138
22,26,159
22,27,156
22,28,179
22,29,201
22,30,206
22,31,220
22,32,217
22,33,228
22,34,245
22,35,248
22,36,250
23,0,116
23,1,97
23,2,120
23,3,106
23,4,96
